filename,split,classe,simbologia,payload,params
images/train/no_defect/qr_000.png,train,no_defect,qr,CBBRPOIG,{}
images/train/no_defect/code39_001.png,train,no_defect,code39,6B9M80O,{}
images/train/no_defect/code39_002.png,train,no_defect,code39,VRJNVGFYG,{}
images/train/no_defect/code128_003.png,train,no_defect,code128,CBF9SXMECOS,{}
images/train/no_defect/datamatrix_004.png,train,no_defect,datamatrix,CBKXWNREK8,{}
images/train/no_defect/qr_005.png,train,no_defect,qr,CBOUDOCUZREN,{}
images/train/no_defect/qr_006.png,train,no_defect,qr,CBJQIP98Q1Z,{}
images/train/no_defect/datamatrix_007.png,train,no_defect,datamatrix,CBJK1EYY,{}
images/train/no_defect/code128_008.png,train,no_defect,code128,CB8RVHS1,{}
images/train/no_defect/itf_009.png,train,no_defect,itf,814893,{}
images/train/no_defect/itf_010.png,train,no_defect,itf,957015,{}
images/train/no_defect/code128_011.png,train,no_defect,code128,CB5E8II4,{}
images/train/no_defect/code39_012.png,train,no_defect,code39,MTZX272HPO,{}
images/train/no_defect/code128_013.png,train,no_defect,code128,CBDOECVE,{}
images/train/no_defect/qr_014.png,train,no_defect,qr,CB4P40MGG1W1,{}
images/train/no_defect/qr_015.png,train,no_defect,qr,CBDZVGPM,{}
images/train/no_defect/code128_016.png,train,no_defect,code128,CB9GD8AFPK0,{}
images/train/no_defect/ean8_017.png,train,no_defect,ean8,4746872,{}
images/train/no_defect/code128_018.png,train,no_defect,code128,CBDD467KD6,{}
images/train/no_defect/code39_019.png,train,no_defect,code39,HPCF07UQN,{}
images/train/no_defect/ean8_020.png,train,no_defect,ean8,5107991,{}
images/train/no_defect/code128_021.png,train,no_defect,code128,CBXSK28T7,{}
images/train/no_defect/code39_022.png,train,no_defect,code39,HG9JRSNV,{}
images/train/no_defect/datamatrix_023.png,train,no_defect,datamatrix,CBF1RCAV,{}
images/train/no_defect/itf_024.png,train,no_defect,itf,6801128059,{}
images/train/no_defect/datamatrix_025.png,train,no_defect,datamatrix,CBWNPGW9,{}
images/train/no_defect/datamatrix_026.png,train,no_defect,datamatrix,CBL0BLV0P,{}
images/train/no_defect/datamatrix_027.png,train,no_defect,datamatrix,CBOM3WTOOBM,{}
images/train/no_defect/ean13_028.png,train,no_defect,ean13,868501429401,{}
images/train/no_defect/code128_029.png,train,no_defect,code128,CBMQC1A78MX,{}
images/train/no_defect/qr_030.png,train,no_defect,qr,CBT6T0UZ,{}
images/train/no_defect/ean8_031.png,train,no_defect,ean8,2994680,{}
images/train/no_defect/ean13_032.png,train,no_defect,ean13,777387214895,{}
images/train/no_defect/code39_033.png,train,no_defect,code39,CP4E30,{}
images/train/no_defect/code39_034.png,train,no_defect,code39,G1OL73,{}
images/train/no_defect/qr_035.png,train,no_defect,qr,CB9U26192K42,{}
images/train/no_defect/itf_036.png,train,no_defect,itf,34714345,{}
images/train/no_defect/qr_037.png,train,no_defect,qr,CBE00V830,{}
images/train/no_defect/qr_038.png,train,no_defect,qr,CBY4AWTY,{}
images/train/no_defect/itf_039.png,train,no_defect,itf,3734670656,{}
